haar,haar_d,dabu5,daub5_d,symlet,symlet_d,coiff5,coiff5_d,daub2,daub2_d,daub4,daub4_d,daub6,daub6_d,daub8,daub8_d,daub10,daub10,daub12,daub12,daub14,daub14_d,daub16,daub16_d,daub18,daub18_d,daub20,daub20_d,daub3,daub3_d,coiff3,coiff3_d
,,,,,,-4.13E-05,0.023408157,,,,,,,,,,,,,-1.03E-05,0.554305618,0.000174787,-0.327063311,0.000628466,-0.092331884,-0.000831562,0.005632247,,,,
,,,,,,-2.13E-05,0.010131118,,,,,,,,,,,,,-4.39E-06,-0.254850268,-6.10E-05,0.089751089,0.000213582,-0.167081313,0.00139256,-0.102291719,,,,
,,,,,,3.73E-06,-0.004159359,,,,,,,,,,,,,1.72E-06,0.062364759,-1.39E-05,0.440290257,-0.000198649,0.149533976,-5.35E-05,-0.024716827,,,,
,,,,,,2.06E-06,-0.002178236,,,,,,,,,,,,,-1.79E-07,-0.006461153,1.13E-05,-0.637356332,-1.54E-07,0.216480934,-0.000385105,0.155458751,,,,
,,,,,,-1.67E-07,0.00035859,,,,,,,,,,,,,,,-1.04E-06,0.430312723,3.74E-05,-0.293654041,0.000101533,0.039850246,,,,
,,,,,,-9.52E-08,0.000212081,,,,,,,,,,,,,,,-7.36E-07,-0.165064283,-8.52E-06,-0.147223112,6.77E-05,-0.228291051,,,,
,,,,,,0.00E+00,0,,,,,,,,,,,,,,,2.31E-07,0.034907714,-3.33E-06,0.571801655,-3.71E-05,-0.016727088,,,,
,,,,,,0.00E+00,0,,,,,,,,,,,,,,,-2.11E-08,-0.003189221,1.77E-06,-0.571826808,-4.38E-06,0.3267868,,,,
,,,,,,,,,,,,,,,,,,,,,,,,-7.69E-08,0.314678941,7.24E-06,-0.139212088,,,,
,,,,,,,,,,,,,,,,,,,,,,,,-1.18E-07,-0.103588466,-1.01E-06,-0.361502299,,,,
,,,,,,,,,,,,,,,,,,,,,,,,3.07E-08,0.019288532,-6.85E-07,0.610493239,,,,
,,,,,,,,,,,,,,,,,,,,,,,,-2.51E-09,-0.00157631,2.63E-07,-0.472696185,,,,
